# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 26K of event 'cycles'
# Event count (approx.): 41462566372
#
# Overhead  Command  Shared Object       Symbol                                                                                             
# ........  .......  ..................  ...................................................................................................
#
     0.00%  rate     rate                [.] golang.org/x/net/http2.(*PingFrame).Header
     0.00%  rate     [kernel.kallsyms]   [k] flush_tlb_func_common.constprop.0
     0.00%  rate     rate                [.] github.com/uber/jaeger-client-go.(*Span).SetTag.dwrap.16
     0.00%  rate     rate                [.] type..hash.golang.org/x/net/http2/hpack.pairNameValue
     0.00%  rate     rate                [.] runtime.(*pageCache).alloc
     0.00%  rate     [kernel.kallsyms]   [k] __skb_clone
     0.00%  rate     [kernel.kallsyms]   [k] llist_add_batch
     0.00%  rate     rate                [.] runtime.procresize
     0.00%  rate     [kernel.kallsyms]   [k] ktime_add_safe
     0.00%  rate     rate                [.] reflect.(*structType).Field
     0.00%  rate     rate                [.] fmt.Fprintf
     0.00%  rate     [kernel.kallsyms]   [k] hrtimer_interrupt
     0.00%  rate     [kernel.kallsyms]   [k] tcp_rbtree_insert
     0.00%  rate     rate                [.] github.com/golang/protobuf/proto.(*Buffer).enc_struct_message
     0.00%  rate     rate                [.] golang.org/x/net/http2.(*Framer).readMetaFrame.dwrap.8
     0.00%  rate     [kernel.kallsyms]   [k] free_pages_and_swap_cache
     0.00%  rate     rate                [.] google.golang.org/grpc/encoding/proto.(*codec).Unmarshal
     0.00%  rate     rate                [.] runtime.(*mheap).freeSpan.func1
     0.00%  rate     [kernel.kallsyms]   [k] __mnt_want_write
     0.00%  rate     [kernel.kallsyms]   [k] brnf_get_logical_dev
     0.00%  rate     rate                [.] sort.quickSort
     0.00%  rate     rate                [.] runtime.(*mheap).setSpans
     0.00%  rate     rate                [.] strconv.ParseInt
     0.00%  rate     rate                [.] runtime.gcBgMarkWorker.func1
     0.00%  rate     [kernel.kallsyms]   [k] __next_zones_zonelist
     0.00%  rate     [kernel.kallsyms]   [k] file_update_time
     0.00%  rate     rate                [.] encoding/json.Unmarshal
     0.00%  rate     rate                [.] google.golang.org/grpc/transport.(*http2Server).handlePing.func1
     0.00%  rate     [kernel.kallsyms]   [k] __release_sock
     0.00%  rate     [kernel.kallsyms]   [k] set_normalized_timespec64
     0.00%  rate     [kernel.kallsyms]   [k] plist_del
     0.00%  rate     [kernel.kallsyms]   [k] __check_heap_object
     0.00%  rate     rate                [.] github.com/uber/jaeger-client-go.NewTracer.func2
     0.00%  rate     rate                [.] runtime.goexit1
     0.00%  rate     [kernel.kallsyms]   [k] run_rebalance_domains
     0.00%  rate     [kernel.kallsyms]   [k] udp_gro_receive
     0.00%  rate     rate                [.] runtime.doaddtimer
     0.00%  rate     [kernel.kallsyms]   [k] kernel_poison_pages
     0.00%  rate     rate                [.] gopkg.in/mgo.v2/bson.(*decoder).readDocTo
     0.00%  rate     [kernel.kallsyms]   [k] copyout
     0.00%  rate     [kernel.kallsyms]   [k] __fdget_pos
     0.00%  rate     rate                [.] runtime.callers.func1
     0.00%  rate     [kernel.kallsyms]   [k] vm_normal_page
     0.00%  rate     rate                [.] github.com/uber/jaeger-client-go.(*Tracer).newSpan
     0.00%  rate     rate                [.] golang.org/x/net/http2/hpack.(*dynamicTable).evict
     0.00%  rate     rate                [.] fmt.(*ss).token
     0.00%  rate     [kernel.kallsyms]   [k] set_task_rq_fair
     0.00%  rate     rate                [.] google.golang.org/grpc.encode
     0.00%  rate     [kernel.kallsyms]   [k] __get_vma_policy
     0.00%  rate     [kernel.kallsyms]   [k] lockref_get_not_dead
     0.00%  rate     [kernel.kallsyms]   [k] ip_forward
     0.00%  rate     rate                [.] google.golang.org/grpc/transport.(*inFlow).onData.dwrap.5
     0.00%  rate     rate                [.] golang.org/x/net/http2.(*WindowUpdateFrame).Header
     0.00%  rate     [kernel.kallsyms]   [k] hrtimer_init_sleeper
     0.00%  rate     [kernel.kallsyms]   [k] complete_walk
     0.00%  rate     [kernel.kallsyms]   [k] x86_pmu_enable
     0.00%  rate     [kernel.kallsyms]   [k] vxlan_vs_find_vni
     0.00%  rate     [kernel.kallsyms]   [k] dql_completed
     0.00%  rate     rate                [.] runtime.(*pageAlloc).scavenge
     0.00%  rate     [kernel.kallsyms]   [k] get_signal
     0.00%  rate     [kernel.kallsyms]   [k] tcp_chrono_stop
     0.00%  rate     [kernel.kallsyms]   [k] on_each_cpu_cond_mask
     0.00%  rate     [kernel.kallsyms]   [k] signal_setup_done
     0.00%  rate     [kernel.kallsyms]   [k] rcu_core
     0.00%  rate     [kernel.kallsyms]   [k] fpregs_mark_activate
     0.00%  rate     [kernel.kallsyms]   [k] aa_label_match
     0.00%  rate     rate                [.] google.golang.org/grpc/transport.(*http2Server).Write.func1.1
     0.00%  rate     rate                [.] golang.org/x/net/http2.(*DataFrame).invalidate
     0.00%  rate     [kernel.kallsyms]   [k] cgroup_rstat_updated
     0.00%  rate     [kernel.kallsyms]   [k] __x86_indirect_thunk_r8
     0.00%  rate     rate                [.] google.golang.org/grpc/transport.(*http2Server).getStream.dwrap.18
     0.00%  rate     rate                [.] runtime.gcWriteBarrierBX
     0.00%  rate     [kernel.kallsyms]   [k] zalloc_cpumask_var
     0.00%  rate     rate                [.] runtime.globrunqget
     0.00%  rate     rate                [.] runtime.binarySearchTree
     0.00%  rate     [kernel.kallsyms]   [k] __build_skb_around
     0.00%  rate     rate                [.] github.com/rs/zerolog.(*callerHook).Run
     0.00%  rate     rate                [.] sync.(*WaitGroup).Done
     0.00%  rate     rate                [.] reflect.mapassign
     0.00%  rate     [kernel.kallsyms]   [k] __acct_update_integrals
     0.00%  rate     [kernel.kallsyms]   [k] generic_update_time
     0.00%  rate     rate                [.] runtime.(*pageAlloc).scavengeRangeLocked
     0.00%  rate     rate                [.] runtime.notetsleep
     0.00%  rate     [kernel.kallsyms]   [k] ip_vs_remote_request4
     0.00%  rate     [kernel.kallsyms]   [k] ovl_inode_upper
     0.00%  rate     [kernel.kallsyms]   [k] path_name.isra.0
     0.00%  rate     rate                [.] google.golang.org/grpc/transport.(*transportReader).Read
     0.00%  rate     [kernel.kallsyms]   [k] down_read_trylock
     0.00%  rate     [kernel.kallsyms]   [k] tcp_grow_window.isra.0
     0.00%  rate     [kernel.kallsyms]   [k] build_skb
     0.00%  rate     rate                [.] runtime.sighandler
     0.00%  rate     [kernel.kallsyms]   [k] tcp_add_backlog
     0.00%  rate     rate                [.] google.golang.org/grpc/transport.(*http2Server).getStream
     0.00%  rate     rate                [.] runtime.(*addrRanges).removeGreaterEqual
     0.00%  rate     rate                [.] runtime.gcWriteBarrierDX
     0.00%  rate     [kernel.kallsyms]   [k] using_native_sched_clock
     0.00%  rate     rate                [.] runtime.chanparkcommit
     0.00%  rate     [kernel.kallsyms]   [k] ip_vs_in
     0.00%  rate     [kernel.kallsyms]   [k] skb_pull_rcsum
     0.00%  rate     rate                [.] github.com/uber/jaeger-client-go.(*Tracer).StartSpan
     0.00%  rate     [kernel.kallsyms]   [k] signal_wake_up_state
     0.00%  rate     rate                [.] runtime.makemap_small
     0.00%  rate     [kernel.kallsyms]   [k] __hrtimer_get_next_event
     0.00%  rate     rate                [.] github.com/golang/protobuf/proto.(*Buffer).Unmarshal
     0.00%  rate     [kernel.kallsyms]   [k] update_vsyscall
     0.00%  rate     [kernel.kallsyms]   [k] __update_load_avg_blocked_se
     0.00%  rate     [kernel.kallsyms]   [k] mem_cgroup_uncharge_list
     0.00%  rate     rate                [.] runtime.pcdatavalue1
     0.00%  rate     [kernel.kallsyms]   [k] nf_nat_manip_pkt
     0.00%  rate     [kernel.kallsyms]   [k] complete_signal
     0.00%  rate     libpthread-2.31.so  [.] __restore_rt
     0.00%  rate     [kernel.kallsyms]   [k] nf_conntrack_udp_packet
     0.00%  rate     rate                [.] reflect.(*rtype).FieldByName
     0.00%  rate     rate                [.] runtime.cgoSigtramp
     0.00%  rate     [kernel.kallsyms]   [k] udp_unicast_rcv_skb.isra.0
     0.00%  rate     rate                [.] runtime.heapBits.forwardOrBoundary
     0.00%  rate     [kernel.kallsyms]   [k] sk_reset_timer
     0.00%  rate     rate                [.] syscall.Getcwd
     0.00%  rate     rate                [.] fmt.(*ss).doScanf.dwrap.6
     0.00%  rate     [kernel.kallsyms]   [k] __mutex_lock.isra.0
     0.00%  rate     [kernel.kallsyms]   [k] unmap_single_vma
     0.00%  rate     rate                [.] runtime.goexit1.abi0
     0.00%  rate     [kernel.kallsyms]   [k] kill_fasync
     0.00%  rate     [kernel.kallsyms]   [k] alloc_cpumask_var_node
     0.00%  rate     [kernel.kallsyms]   [k] tcp_gro_receive
     0.00%  rate     [kernel.kallsyms]   [k] netif_rx
     0.00%  rate     rate                [.] context.(*cancelCtx).Done.dwrap.1
     0.00%  rate     rate                [.] runtime.memhash
     0.00%  rate     [kernel.kallsyms]   [k] udp_queue_rcv_one_skb
     0.00%  rate     rate                [.] runtime.(*pageBits).setRange
     0.00%  rate     [kernel.kallsyms]   [k] __dec_node_state
     0.00%  rate     [kernel.kallsyms]   [k] kthread_blkcg
     0.00%  rate     rate                [.] golang.org/x/net/http2.(*Framer).WriteDataPadded
     0.00%  rate     rate                [.] runtime.chansend1
     0.00%  rate     [kernel.kallsyms]   [k] rcu_qs
     0.00%  rate     [kernel.kallsyms]   [k] skb_release_all
     0.00%  rate     rate                [.] github.com/rs/zerolog.(*Logger).should
     0.00%  rate     [kernel.kallsyms]   [k] remove_entity_load_avg
     0.00%  rate     [kernel.kallsyms]   [k] aa_audit_file
     0.00%  rate     [kernel.kallsyms]   [k] br_nf_dev_xmit
     0.00%  rate     [kernel.kallsyms]   [k] blk_update_request
     0.00%  rate     rate                [.] google.golang.org/grpc/transport.encodeGrpcMessage
     0.00%  rate     rate                [.] github.com/rs/zerolog.consoleDefaultFormatMessage.func1
     0.00%  rate     [kernel.kallsyms]   [k] aa_str_perms
     0.00%  rate     [kernel.kallsyms]   [k] perf_event_task_tick
     0.00%  rate     rate                [.] google.golang.org/grpc/transport.(*recvBufferReader).Read
     0.00%  rate     [kernel.kallsyms]   [k] __run_timers.part.0
     0.00%  rate     [kernel.kallsyms]   [k] __x86_indirect_thunk_rbx
     0.00%  rate     rate                [.] golang.org/x/net/http2.(*PingFrame).invalidate
     0.00%  rate     [kernel.kallsyms]   [k] l4proto_manip_pkt
     0.00%  rate     rate                [.] reflect.name.tag
     0.00%  rate     rate                [.] runtime.getpid.abi0
     0.00%  rate     rate                [.] github.com/uber/jaeger-client-go/thrift-gen/jaeger.(*Tag).Write
     0.00%  rate     rate                [.] github.com/bradfitz/gomemcache/memcache.(*Client).getFromAddr.func1
     0.00%  rate     [kernel.kallsyms]   [k] detach_if_pending
     0.00%  rate     [kernel.kallsyms]   [k] kick_process
     0.00%  rate     rate                [.] runtime.dodeltimer0
     0.00%  rate     [kernel.kallsyms]   [k] lockref_put_return
     0.00%  rate     rate                [.] github.com/uber/jaeger-client-go.(*Span).Context
     0.00%  rate     [kernel.kallsyms]   [k] profile_path_perm.part.0
     0.00%  rate     rate                [.] os.Getenv
     0.00%  rate     [kernel.kallsyms]   [k] __alloc_pages_nodemask
     0.00%  rate     [kernel.kallsyms]   [k] ip_list_rcv
     0.00%  rate     [kernel.kallsyms]   [k] recalc_sigpending
     0.00%  rate     [kernel.kallsyms]   [k] nf_ct_invert_tuple
     0.00%  rate     [kernel.kallsyms]   [k] br_nf_forward_finish
     0.00%  rate     [kernel.kallsyms]   [k] __bitmap_and
     0.00%  rate     rate                [.] github.com/opentracing/opentracing-go.(*SpanReference).Apply
     0.00%  rate     rate                [.] github.com/golang/protobuf/proto.(*Buffer).dec_proto3_string
     0.00%  rate     [kernel.kallsyms]   [k] inet_recvmsg
     0.00%  rate     rate                [.] google.golang.org/grpc/transport.(*http2Server).operateHeaders.func2
     0.00%  rate     rate                [.] google.golang.org/grpc.(*Server).serveStreams.func1.1.dwrap.45
     0.00%  rate     [kernel.kallsyms]   [k] free_pcp_prepare
     0.00%  rate     rate                [.] runtime.(*pageAlloc).scavengeOne
     0.00%  rate     rate                [.] github.com/rs/zerolog/internal/json.Encoder.AppendTime
     0.00%  rate     rate                [.] runtime.stringtoslicebyte
     0.00%  rate     rate                [.] bytes.Count
     0.00%  rate     rate                [.] runtime.(*mcentral).grow
     0.00%  rate     [kernel.kallsyms]   [k] __x2apic_send_IPI_dest
     0.00%  rate     [kernel.kallsyms]   [k] from_kuid_munged
     0.00%  rate     [kernel.kallsyms]   [k] putname
     0.00%  rate     rate                [.] github.com/uber/jaeger-client-go/thrift-gen/jaeger.(*SpanRef).Write
     0.00%  rate     [kernel.kallsyms]   [k] apic_ack_irq
     0.00%  rate     [kernel.kallsyms]   [k] napi_complete_done
     0.00%  rate     rate                [.] strconv.ParseFloat
     0.00%  rate     rate                [.] runtime.memhash32
     0.00%  rate     [kernel.kallsyms]   [k] aa_dfa_next
     0.00%  rate     [kernel.kallsyms]   [k] page_mapping
     0.00%  rate     rate                [.] runtime.madvise.abi0
     0.00%  rate     [kernel.kallsyms]   [k] default_wake_function
     0.00%  rate     [kernel.kallsyms]   [k] eth_header
     0.00%  rate     [kernel.kallsyms]   [k] page_frag_free
     0.00%  rate     [kernel.kallsyms]   [k] note_interrupt
     0.00%  rate     rate                [.] github.com/uber/jaeger-client-go.(*udpSender).Append
     0.00%  rate     [kernel.kallsyms]   [k] nf_bridge_update_protocol
     0.00%  rate     [kernel.kallsyms]   [k] smp_call_function_single
     0.00%  rate     rate                [.] reflect.Value.FieldByName
     0.00%  rate     [kernel.kallsyms]   [k] nbp_switchdev_allowed_egress
     0.00%  rate     rate                [.] runtime.adjustSignalStack
     0.00%  rate     rate                [.] runtime.scanstack.func1
     0.00%  rate     rate                [.] runtime.gcAssistAlloc
     0.00%  rate     [kernel.kallsyms]   [k] ret_from_intr
     0.00%  rate     rate                [.] github.com/opentracing/opentracing-go.SpanFromContext
     0.00%  rate     [kernel.kallsyms]   [k] tick_sched_timer
     0.00%  rate     rate                [.] github.com/bradfitz/gomemcache/memcache.(*Client).getFromAddr
     0.00%  rate     rate                [.] runtime.publicationBarrier.abi0
     0.00%  rate     [kernel.kallsyms]   [k] should_failslab
     0.00%  rate     [kernel.kallsyms]   [k] cpumask_next_and
     0.00%  rate     rate                [.] runtime.(*mheap).alloc.func1
     0.00%  rate     [kernel.kallsyms]   [k] ovl_inode_lower
     0.00%  rate     [kernel.kallsyms]   [k] __do_sys_newfstatat
     0.00%  rate     rate                [.] github.com/golang/protobuf/proto.(*Buffer).enc_slice_struct_message
     0.00%  rate     rate                [.] runtime.isAsyncSafePoint
     0.00%  rate     [kernel.kallsyms]   [k] tlb_finish_mmu
     0.00%  rate     [kernel.kallsyms]   [k] current_time
     0.00%  rate     rate                [.] sync.(*Pool).getSlow
     0.00%  rate     rate                [.] runtime.(*gcControllerState).startCycle
     0.00%  rate     [kernel.kallsyms]   [k] mlx5e_poll_xdpsq_cq
     0.00%  rate     rate                [.] runtime.(*addrRanges).add
     0.00%  rate     [kernel.kallsyms]   [k] page_counter_uncharge
     0.00%  rate     rate                [.] github.com/rs/zerolog.consoleDefaultFormatLevel
     0.00%  rate     [kernel.kallsyms]   [k] hrtimer_cancel
     0.00%  rate     rate                [.] github.com/bradfitz/gomemcache/memcache.(*ServerList).PickServer.dwrap.10
     0.00%  rate     rate                [.] internal/bytealg.IndexByteString.abi0
     0.00%  rate     [kernel.kallsyms]   [k] lock_timer_base
     0.00%  rate     rate                [.] reflect.(*rtype).String
     0.00%  rate     rate                [.] runtime.memclrHasPointers
     0.00%  rate     [kernel.kallsyms]   [k] mlx5e_build_rx_skb
     0.00%  rate     [kernel.kallsyms]   [k] task_tick_fair
     0.00%  rate     [kernel.kallsyms]   [k] __accumulate_pelt_segments
     0.00%  rate     [kernel.kallsyms]   [k] run_timer_softirq
     0.00%  rate     rate                [.] github.com/rs/zerolog.newEvent
     0.00%  rate     rate                [.] runtime.gcBgMarkWorker.func2
     0.00%  rate     [kernel.kallsyms]   [k] profile_tick
     0.00%  rate     rate                [.] github.com/uber/jaeger-lib/metrics.(*nullCounter).Inc
     0.00%  rate     rate                [.] github.com/golang/protobuf/proto.(*Buffer).Marshal
     0.00%  rate     [kernel.kallsyms]   [k] trigger_dyntick_cpu.isra.0
     0.00%  rate     [kernel.kallsyms]   [k] rcu_cblist_dequeue
     0.00%  rate     [kernel.kallsyms]   [k] trigger_load_balance
     0.00%  rate     [kernel.kallsyms]   [k] __internal_add_timer
     0.00%  rate     [kernel.kallsyms]   [k] intel_pmu_enable_all


#
# (Cannot load tips.txt file, please install perf!)
#
